Site Code,Site Name,Latitude,Longitude,Region,Observation Time,Observation Date,Wind Direction,Wind Speed,Wind Gust,Visibility,Screen Temperature,Pressure,Pressure Tendency, Significant Weather
3002,BALTASOUND (3002),60.749,-0.854,Orkney & Shetland,12:00,8/28/2013,WSW,13,,11000,13,1020,F,(White) Medium-level cloud
3005,LERWICK (S. SCREEN) (3005),60.139,-1.183,Orkney & Shetland,12:00,8/28/2013,SW,14,,16000,12.3,1020,F,(White) Medium-level cloud
3008,FAIR ISLE (3008),59.53,-1.63,Orkney & Shetland,12:00,8/28/2013,SW,8,,15000,12.4,1020,#,(Black) Low-level cloud
3017,KIRKWALL (3017),58.954,-2.9,Orkney & Shetland,12:00,8/28/2013,SW,10,,28000,13.1,1021,F,(White) Medium-level cloud
3023,SOUTH UIST RANGE (3023),57.358,-7.397,Highland & Eilean Siar,12:00,8/28/2013,SW,18,,45000,13.9,1020,F,(Black) Low-level cloud
3026,STORNOWAY (3026),58.214,-6.325,Highland & Eilean Siar,12:00,8/28/2013,S,14,,20000,14.1,1020,F,Sunny intervals
3031,LOCH GLACARNOCH SAWS (3031),57.725,-4.896,Highland & Eilean Siar,12:00,8/28/2013,E,3,,30000,12.7,1021,F,(White) Medium-level cloud
3034,AULTBEA (3034),57.859,-5.636,Highland & Eilean Siar,12:00,8/28/2013,SSW,13,,40000,15.2,1021,F,(White) Medium-level cloud
3037,SKYE/LUSA (SAMOS) (3037),57.257,-5.809,Highland & Eilean Siar,12:00,8/28/2013,SSW,7,,22000,14.7,1021,F,(White) Medium-level cloud
3039,BEALACH NA BA (3039),57.42,-5.69,Highland & Eilean Siar,12:00,8/28/2013,SSW,11,,,6.6,,#,N/A
3041,AONACH MOR (3041),56.82,-4.97,Highland & Eilean Siar,12:00,8/28/2013,S,17,,,5.8,,#,N/A
3044,ALTNAHARRA SAWS (3044),58.288,-4.442,Highland & Eilean Siar,12:00,8/28/2013,SSW,8,,30000,13.5,1021,F,(White) Medium-level cloud
3047,TULLOCH BRIDGE (3047),56.867,-4.708,Highland & Eilean Siar,12:00,8/28/2013,NNW,5,,40000,13.6,1022,F,(White) Medium-level cloud
3062,TAIN RANGE (3062),57.82,-3.97,Highland & Eilean Siar,12:00,8/28/2013,SSW,6,,35000,14.2,1021,F,(White) Medium-level cloud
3063,AVIEMORE (3063),57.206,-3.827,Highland & Eilean Siar,12:00,8/28/2013,S,8,,40000,14.2,1021,F,(White) Medium-level cloud
3075,WICK AIRPORT (3075),58.454,-3.089,Highland & Eilean Siar,12:00,8/28/2013,S,9,,29000,13.3,1021,F,(White) Medium-level cloud
3065,CAIRNGORM SUMMIT (3065),57.12,-3.64,Grampian,12:00,8/28/2013,S,21,29,,5,,#,N/A
3066,KINLOSS (3066),57.6494,-3.5606,Grampian,12:00,8/28/2013,ENE,3,,55000,15.4,1021,F,(White) Medium-level cloud
3068,LOSSIEMOUTH (3068),57.712,-3.322,Grampian,12:00,8/28/2013,SSE,9,,40000,15.8,1021,F,(White) Medium-level cloud
3080,ABOYNE (3080),57.077,-2.836,Grampian,12:00,8/28/2013,SSE,8,,35000,15.2,1022,F,(Black) Low-level cloud
3088,INVERBERVIE (3088),56.85,-2.27,Grampian,12:00,8/28/2013,SE,6,,35000,13.3,1023,F,(Black) Low-level cloud
3091,ABERDEEN DYCE (3091),57.206,-2.202,Grampian,12:00,8/28/2013,S,8,,26000,14.1,1022,F,(Black) Low-level cloud
3100,TIREE (3100),56.497,-6.887,Strathclyde,12:00,8/28/2013,SW,9,,27000,13.8,1022,F,(Black) Low-level cloud
3105,ISLAY/PORT ELLEN (3105),55.681,-6.256,Strathclyde,12:00,8/28/2013,W,8,,25000,14.3,1022,F,(Black) Low-level cloud
3111,MACHRIHANISH (3111),55.441,-5.699,Strathclyde,12:00,8/28/2013,WSW,9,,35000,14.7,1022,F,(Black) Low-level cloud
3134,GLASGOW/BISHOPTON (3134),55.907,-4.533,Strathclyde,12:00,8/28/2013,SSW,8,,35000,15,1022,F,(Black) Low-level cloud
3136,PRESTWICK RNAS (3136),55.515,-4.585,Strathclyde,12:00,8/28/2013,WSW,5,,30000,14.1,1022,F,(Black) Low-level cloud
3155,DRUMALBIN (3155),55.627,-3.735,Strathclyde,12:00,8/28/2013,W,3,,25000,14.7,1021,F,(White) Medium-level cloud
3144,STRATHALLAN (3144),56.326,-3.729,Central Tayside & Fife,12:00,8/28/2013,E,3,,30000,16.1,1022,F,(Black) Low-level cloud
3148,GLEN OGLE (3148),56.423,-4.32,Central Tayside & Fife,12:00,8/28/2013,S,8,,,10.8,,#,N/A
